id,customer_id,order_date,order_item,order_status
1,9,2022-03-06,"Beans - Turtle, Black, Dry",false
2,37,2022-12-24,Pickle - Dill,true
3,18,2022-09-05,Monkfish - Fresh,true
4,25,2022-09-27,Iced Tea Concentrate,false
5,67,2022-02-16,Table Cloth 54x54 White,false
6,50,2022-01-11,Island Oasis - Raspberry,false
7,82,2022-03-14,Ham - Procutinni,true
8,67,2022-04-18,Beef - Shank,false
9,92,2022-02-08,Everfresh Products,true
10,19,2022-07-17,Kellogs Cereal In A Cup,true
11,14,2022-04-11,Bread - Burger,true
12,53,2022-07-09,Mussels - Frozen,true
13,43,2022-08-10,Pail With Metal Handle 16l White,true
14,100,2022-08-05,Lamb Leg - Bone - In Nz,false
15,68,2022-06-20,Grapes - Red,false
16,53,2022-07-20,Pail For Lid 1537,true
17,23,2022-10-09,Sea Bass - Fillets,false
18,59,2022-08-26,Bonito Flakes - Toku Katsuo,true
19,53,2022-02-28,Vodka - Smirnoff,true
20,15,2022-05-19,"Vodka - Lemon, Absolut",true
21,13,2022-10-09,Lettuce - Iceberg,true
22,87,2022-05-29,Container Clear 8 Oz,true
23,28,2022-09-23,Smoked Paprika,false
24,71,2022-12-28,Mustard - Seed,false
25,21,2022-03-22,Pork Loin Bine - In Frenched,true
26,60,2022-10-25,Truffle Cups - Red,false
27,16,2022-06-30,Potato - Sweet,false
28,77,2022-03-01,Pork - Ham Hocks - Smoked,false
29,38,2022-08-12,Oil - Peanut,true
30,10,2022-03-03,Gingerale - Diet - Schweppes,false
31,100,2022-08-05,Onions - Green,true
32,46,2022-08-14,Meldea Green Tea Liquor,true
33,28,2022-11-27,Truffle Shells - Semi - Sweet,false
34,28,2022-08-07,"Beans - Black Bean, Dry",false
35,70,2022-07-05,Cornish Hen,true
36,60,2022-11-27,Sugar - Fine,true
37,55,2022-05-01,Fudge - Chocolate Fudge,false
38,17,2022-05-21,Cake - Dulce De Leche,true
39,98,2022-10-05,Beef - Salted,true
